Budget,Year,Name,Rate,Genre
3,1991,Madonna: Truth or Dare,6.3,Documentary
0.02,1991,Dingo,6,Drama
0.025,1991,Poison,6.4,Drama
0.03,1991,High Strung,5.4,Comedy
0.05,1991,Johnny Suede,4.8,Comedy
0.08,1991,Daughters of the Dust,6.8,Drama
0.08,1991,Puppet Master III Toulon's Revenge,6,Horror
0.1,1991,Delusion,4.8,Crime
0.1182273,1991,Year of the Gun,4.2,Action
0.1227401,1991,The Rapture,6.4,Mystery
0.14,1991,Shakes the Clown,5.5,Action
0.2,1991,The Pit and the Pendulum,5.7,Horror
0.25,1991,My Own Private Idaho,7.1,Drama
0.3,1991,Scenes from a Mall,4.8,Comedy
0.35,1991,Night on Earth,7.5,Comedy
0.4,1991,Closet Land,6.6,Drama
0.5,1991,Meet the Applegates,5,Comedy
0.6,1991,Beastmaster 2: Through the Portal of Time,4.6,Action
0.6,1991,Cool as Ice,4.7,Drama
0.6,1991,The People Under the Stairs,6.4,Comedy
0.65,1991,Boyz n the Hood,7.4,Crime
0.6788,1991,Drop Dead Fred,5.9,Comedy
0.7,1991,The Indian Runner,6.2,Drama
0.75,1991,Rambling Rose,6.4,Drama
0.8,1991,Mortal Thoughts,5.3,Mystery
0.8,1991,A Rage in Harlem,5.8,Crime
0.8,1991,Showdown in Little Tokyo,5.7,Action
0.85,1991,New Jack City,6.3,Thriller
0.9,1991,Barton Fink,7.4,Comedy
0.9,1991,Highway to Hell,6.1,Fantasy
1,1991,The Perfect Weapon,6,Action
1,1991,Don't Tell Mom the Babysitter's Dead,5.8,Comedy
1.1,1991,Return to the Blue Lagoon,5.2,Adventure
1.1,1991,Freddy's Dead: The Final Nightmare,5.1,Horror
1.1,1991,Kafka,6.6,Comedy
1.1,1991,Fried Green Tomatoes,7.6,Drama
1.2,1991,The Doctor,6.6,Drama
1.3,1991,Mannequin Two: On the Move,4.6,Fantasy
1.3,1991,Eve of Destruction,5.1,Action
1.3,1991,Child's Play 3,5.5,Thriller
1.4,1991,White Fang,6.5,Action
1.4,1991,Out for Justice,5.9,Action
1.4,1991,Jungle Fever,6,Drama
1.4,1991,Shadows and Fog,7,Thriller
1.5,1991,Double Impact,5.3,Thriller
1.6,1991,Run,5.5,Action
1.6,1991,Thelma & Louise,7.2,Drama
1.6,1991,Naked Lunch,7,Crime
1.64,1991,F/X2,5.8,Adventure
1.65,1991,My Girl,7,Comedy
1.7,1991,Dutch,6.4,Comedy
1.7,1991,Another You,4.9,Comedy
1.701,1991,Pure Luck,5.5,Comedy
1.8,1991,Rock-A-Doodle,5.3,Comedy
1.8,1991,Delirious,5.5,Fantasy
1.9,1991,The Silence of the Lambs,8.1,Crime
1.9,1991,Sleeping with the Enemy,6.1,Drama
2.2,1991,The Super,5.5,Comedy
2.2,1991,Shattered,6.1,Mystery
2.3,1991,The Naked Gun 2½: The Smell of Fear,6.6,Comedy
2.3,1991,Mobsters,5.7,Drama
2.3,1991,Harley Davidson and the Marlboro Man,6.1,Action
2.4,1991,Point Break,6.9,Action
