Budget,Language,Country,Year,Name,Rate,Genre
30000000,en,United States of America,1991,Madonna: Truth or Dare,6.3,Documentary
200000,en,United States of America,1991,Dingo,6,Drama
250000,en,United States of America,1991,Poison,6.4,Drama
300000,en,United States of America,1991,High Strung,5.4,Comedy
500000,en,United States of America,1991,Johnny Suede,4.8,Comedy
800000,en,United States of America,1991,Daughters of the Dust,6.8,Drama
800000,en,United States of America,1991,Puppet Master III Toulon's Revenge,6,Horror
1000000,en,United States of America,1991,Delusion,4.8,Crime
1182273,en,United States of America,1991,Year of the Gun,4.2,Action
1227401,en,United States of America,1991,The Rapture,6.4,Mystery
1400000,en,United States of America,1991,Shakes the Clown,5.5,Action
2000000,en,United States of America,1991,The Pit and the Pendulum,5.7,Horror
2500000,en,United States of America,1991,My Own Private Idaho,7.1,Drama
3000000,en,United States of America,1991,Scenes from a Mall,4.8,Comedy
3500000,en,United States of America,1991,Night on Earth,7.5,Comedy
4000000,en,United States of America,1991,Closet Land,6.6,Drama
5000000,en,United States of America,1991,Meet the Applegates,5,Comedy
6000000,en,United States of America,1991,Beastmaster 2: Through the Portal of Time,4.6,Action
6000000,en,United States of America,1991,Cool as Ice,4.7,Drama
6000000,en,United States of America,1991,The People Under the Stairs,6.4,Comedy
6500000,en,United States of America,1991,Boyz n the Hood,7.4,Crime
6788000,en,United States of America,1991,Drop Dead Fred,5.9,Comedy
7000000,en,United States of America,1991,The Indian Runner,6.2,Drama
7500000,en,United States of America,1991,Rambling Rose,6.4,Drama
8000000,en,United States of America,1991,Mortal Thoughts,5.3,Mystery
8000000,en,United States of America,1991,A Rage in Harlem,5.8,Crime
8000000,en,United States of America,1991,Showdown in Little Tokyo,5.7,Action
8500000,en,United States of America,1991,New Jack City,6.3,Thriller
9000000,en,United States of America,1991,Barton Fink,7.4,Comedy
9000000,en,United States of America,1991,Highway to Hell,6.1,Fantasy
10000000,en,United States of America,1991,The Perfect Weapon,6,Action
10000000,en,United States of America,1991,Don't Tell Mom the Babysitter's Dead,5.8,Comedy
11000000,en,United States of America,1991,Return to the Blue Lagoon,5.2,Adventure
11000000,en,United States of America,1991,Freddy's Dead: The Final Nightmare,5.1,Horror
11000000,en,United States of America,1991,Kafka,6.6,Comedy
11000000,en,United States of America,1991,Fried Green Tomatoes,7.6,Drama
12000000,en,United States of America,1991,The Doctor,6.6,Drama
13000000,en,United States of America,1991,Mannequin Two: On the Move,4.6,Fantasy
13000000,en,United States of America,1991,Eve of Destruction,5.1,Action
